,time,tz,alert,dmin,sources,mmi,net,tipe,url,id,ids,code,rms,detail,cdi,mag,updated,gap,mag_type,types,nst,sig,felt,place,status,tsunami
0,1642723176663,,,3.949,",us,",,us,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gdps,us7000gdps,",us7000gdps,",7000gdps,0.82,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gdps&format=geojson,,5.2,1642724106040,132,mb,",origin,phase-data,",,416,,"112 km ENE of Shikotan, Russia",reviewed,0
1,1642722740150,,,0.01102,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681261,nc73681261,",nc73681261,",73681261,0.04,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681261&format=geojson,,0.53,1642722839671,81,md,",nearby-cities,origin,phase-data,",11.0,4,,"2km NNW of The Geysers, CA",automatic,0
2,1642721754140,,,0.05028,",nc,nn,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681251,nc73681251,",nc73681251,nn00832096,",73681251,0.12,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681251&format=geojson,,2.73,1642723030617,82,md,",nearby-cities,origin,phase-data,scitech-link,",22.0,115,,"6km WNW of Walker, CA",automatic,0
3,1642721450023,,,0.849,",us,",,us,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gdpj,us7000gdpj,",us7000gdpj,",7000gdpj,1.02,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gdpj&format=geojson,,2.8,1642722152040,62,ml,",origin,phase-data,",,121,,"33 km NW of Stanley, Idaho",reviewed,0
4,1642721297302,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xgly6a,ak022xgly6a,",ak022xgly6a,",022xgly6a,1.71,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xgly6a&format=geojson,,1.6,1642721538907,,ml,",origin,",,39,,"17 km N of Point Possession, Alaska",automatic,0
5,1642721284660,,,0.03664,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918967,ci39918967,",ci39918967,",39918967,0.23,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918967&format=geojson,,0.74,1642721503823,106,ml,",nearby-cities,origin,phase-data,scitech-link,",11.0,8,,"8km S of Hemet, CA",automatic,0
6,1642721280620,,,0.03872,",ci,",,ci,quarry blast,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918959,ci39918959,",ci39918959,",39918959,0.19,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918959&format=geojson,,1.51,1642721503552,125,ml,",nearby-cities,origin,phase-data,scitech-link,",25.0,35,,"7km ESE of Chula Vista, CA",automatic,0
7,1642719834780,,,0.01082,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc71127074,nc71127074,",nc71127074,",71127074,0.03,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71127074&format=geojson,,0.48,1642723891742,61,md,",nearby-cities,origin,phase-data,",15.0,4,,"8km NW of The Geysers, CA",reviewed,0
8,1642719821220,,,0.007426,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681246,nc73681246,",nc73681246,",73681246,0.04,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681246&format=geojson,,-0.11,1642723711896,99,md,",nearby-cities,origin,phase-data,",10.0,0,,"8km NW of The Geysers, CA",reviewed,0
9,1642719466180,,,0.01316,",uw,",,uw,explosion,https://earthquake.usgs.gov/earthquakes/eventpage/uw61811916,uw61811916,",uw61811916,",61811916,0.11,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61811916&format=geojson,2.7,1.58,1642721985011,72,ml,",dyfi,origin,phase-data,",14.0,40,5.0,"2 km ENE of Granite Falls, Washington",reviewed,0
10,1642719245540,,,0.08176,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918887,ci39918887,",ci39918887,",39918887,0.21,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918887&format=geojson,,0.91,1642719460605,86,ml,",nearby-cities,origin,phase-data,scitech-link,",13.0,13,,"20km ESE of Little Lake, CA",automatic,0
11,1642719102300,,,,",hv,",,hv,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72883527,hv72883527,",hv72883527,",72883527,0.119999997,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72883527&format=geojson,,1.75,1642719292270,97,md,",origin,phase-data,",30.0,47,,"4 km NNE of P?hala, Hawaii",automatic,0
12,1642718239120,,,0.08365,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918863,ci39918863,",ci39918863,",39918863,0.08,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918863&format=geojson,,0.17,1642720174414,86,ml,",nearby-cities,origin,phase-data,scitech-link,",7.0,0,,"22km ESE of Little Lake, CA",reviewed,0
13,1642717863060,,,0.05583,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918855,ci39918855,",ci39918855,",39918855,0.23,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918855&format=geojson,,1.14,1642718073148,71,ml,",nearby-cities,origin,phase-data,scitech-link,",31.0,20,,"11km SW of Morongo Valley, CA",automatic,0
14,1642716969110,,,0.003031,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681236,nc73681236,",nc73681236,",73681236,0.04,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681236&format=geojson,,0.86,1642717063789,96,md,",nearby-cities,origin,phase-data,",15.0,11,,"3km N of The Geysers, CA",automatic,0
15,1642716579772,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xfwge1,ak022xfwge1,",ak022xfwge1,",022xfwge1,0.72,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xfwge1&format=geojson,,0.9,1642717681778,,ml,",origin,phase-data,",,12,,"80 km W of Skwentna, Alaska",reviewed,0
16,1642716359233,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xfvoc4,ak022xfvoc4,",ak022xfvoc4,",022xfvoc4,0.56,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xfvoc4&format=geojson,,1.5,1642716649794,,ml,",origin,",,35,,"50 km W of Cantwell, Alaska",automatic,0
17,1642716312280,,,0.007418,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681231,nc73681231,",nc73681231,",73681231,0.02,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681231&format=geojson,,0.73,1642716407991,84,md,",nearby-cities,origin,phase-data,",11.0,8,,"2km NE of The Geysers, CA",automatic,0
18,1642715876590,,,0.01136,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681221,nc73681221,",nc73681221,",73681221,0.02,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681221&format=geojson,,0.35,1642715972976,83,md,",nearby-cities,origin,phase-data,",11.0,2,,"5km WNW of The Geysers, CA",automatic,0
19,1642715724060,,,0.1146,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918815,ci39918815,",ci39918815,",39918815,0.13,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918815&format=geojson,,1.13,1642715932284,176,ml,",nearby-cities,origin,phase-data,scitech-link,",12.0,20,,"16km NNW of Searles Valley, CA",automatic,0
20,1642715463770,,,0.01239,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681211,nc73681211,",nc73681211,",73681211,0.07,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681211&format=geojson,,2.11,1642718410800,107,md,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",38.0,68,,"5km WNW of The Geysers, CA",automatic,0
21,1642715346153,,,1.509,",us,",,us,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gdnq,us7000gdnq,",us7000gdnq,",7000gdnq,1.18,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gdnq&format=geojson,,4.6,1642716093040,73,mb,",origin,phase-data,",,326,,"226 km E of Amahai, Indonesia",reviewed,0
22,1642715263200,,,0.006524,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918807,ci39918807,",ci39918807,",39918807,0.19,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918807&format=geojson,,1.45,1642715890580,59,ml,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,32,,"7km SSW of Pearblossom, CA",automatic,0
23,1642715084040,,,0.02965,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918783,ci39918783,",ci39918783,",39918783,0.18,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918783&format=geojson,,1.31,1642716195910,71,ml,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",55.0,26,,"22km ESE of Anza, CA",reviewed,0
24,1642714652560,,,0.01025,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681206,nc73681206,",nc73681206,",73681206,0.03,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681206&format=geojson,,-0.1,1642721217493,63,md,",nearby-cities,origin,phase-data,",16.0,0,,"2km NNW of The Geysers, CA",reviewed,0
25,1642714187660,,,0.06352,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918759,ci39918759,",ci39918759,",39918759,0.1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918759&format=geojson,,0.46,1642715353936,58,ml,",nearby-cities,origin,phase-data,scitech-link,",13.0,3,,"17km E of Little Lake, CA",reviewed,0
26,1642713934620,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xfehbu,ak022xfehbu,",ak022xfehbu,",022xfehbu,0.73,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xfehbu&format=geojson,,1.7,1642714736302,,ml,",origin,",,44,,"48 km SSW of McGrath, Alaska",automatic,0
27,1642713553990,,,,",hv,",,hv,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72883432,hv72883432,",hv72883432,",72883432,0.109999999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72883432&format=geojson,,2.11999989,1642713750230,85,md,",origin,phase-data,",40.0,69,,"0 km S of P?hala, Hawaii",automatic,0
28,1642713352770,,,0.01401,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681201,nc73681201,",nc73681201,",73681201,0.04,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681201&format=geojson,,0.87,1642713450206,177,md,",nearby-cities,origin,phase-data,",13.0,12,,"3km NW of Cobb, CA",automatic,0
29,1642712788030,,,,",hv,",,hv,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72883422,hv72883422,",hv72883422,",72883422,0.25,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72883422&format=geojson,,1.75,1642713119800,139,ml,",origin,phase-data,",13.0,47,,"5 km WSW of Volcano, Hawaii",automatic,0
30,1642712536020,,,0.07948,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918727,ci39918727,",ci39918727,",39918727,0.24,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918727&format=geojson,,1.89,1642714368844,81,ml,",nearby-cities,origin,phase-data,scitech-link,",40.0,55,,"8km NW of Malibu, CA",reviewed,0
31,1642712321960,,,0.06762,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918719,ci39918719,",ci39918719,",39918719,0.1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918719&format=geojson,,0.83,1642713888797,144,ml,",nearby-cities,origin,phase-data,scitech-link,",16.0,11,,"15km W of Searles Valley, CA",reviewed,0
32,1642712213330,,,,",hv,",,hv,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72883392,hv72883392,",hv72883392,",72883392,0.129999995,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72883392&format=geojson,,2.01999998,1642712415980,102,md,",origin,phase-data,",41.0,63,,"4 km SW of P?hala, Hawaii",automatic,0
33,1642711810540,,,0.009676,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681196,nc73681196,",nc73681196,",73681196,0.03,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681196&format=geojson,,1.18,1642715830547,58,md,",nearby-cities,origin,phase-data,scitech-link,",19.0,21,,"8km WNW of Cobb, CA",automatic,0
34,1642711478420,,,0.009372,",uu,",,uu,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60478297,uu60478297,",uu60478297,",60478297,0.07,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60478297&format=geojson,,1.99,1642713670130,194,md,",origin,phase-data,",7.0,61,,"15 km SSE of Sunnyside, Utah",reviewed,0
35,1642711378690,,,0.06303,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918687,ci39918687,",ci39918687,",39918687,0.13,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918687&format=geojson,,0.48,1642713867263,64,ml,",nearby-cities,origin,phase-data,scitech-link,",20.0,4,,"17km ESE of Anza, CA",reviewed,0
36,1642711196246,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xew38u,ak022xew38u,",ak022xew38u,",022xew38u,0.28,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xew38u&format=geojson,,1.8,1642711599822,,ml,",origin,",,50,,"63 km SE of Denali National Park, Alaska",automatic,0
37,1642710271830,,,0.03947,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918679,ci39918679,",ci39918679,",39918679,0.17,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918679&format=geojson,,1.92,1642713771150,22,ml,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",67.0,57,,"13km WNW of Anza, CA",reviewed,0
38,1642709940710,,,0.08414,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918671,ci39918671,",ci39918671,",39918671,0.24,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918671&format=geojson,,0.93,1642714084815,172,ml,",nearby-cities,origin,phase-data,scitech-link,",6.0,13,,"15km SSE of Lone Pine, CA",reviewed,0
39,1642709682954,,,,",us,ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xequis,ak022xequis,",us7000gdmn,ak022xequis,",022xequis,0.8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xequis&format=geojson,,2.9,1642717232040,,ml,",origin,phase-data,",,129,,"88 km NNE of Arctic Village, Alaska",reviewed,0
40,1642709283990,,,0.1361,",ci,",,ci,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39918639,ci39918639,",ci39918639,",39918639,0.19,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39918639&format=geojson,,0.85,1642713422294,279,ml,",nearby-cities,origin,phase-data,scitech-link,",14.0,11,,"8km W of Imperial Beach, CA",reviewed,0
41,1642709211970,,,0.009507,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681176,nc73681176,",nc73681176,",73681176,0.02,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681176&format=geojson,,0.84,1642709307563,76,md,",nearby-cities,origin,phase-data,",15.0,11,,"6km WNW of The Geysers, CA",automatic,0
42,1642709192191,,,,",ak,",,ak,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak022xeoyra,ak022xeoyra,",ak022xeoyra,",022xeoyra,0.37,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022xeoyra&format=geojson,,1.3,1642709615965,,ml,",origin,",,26,,"69 km SSW of Harding-Birch Lakes, Alaska",automatic,0
43,1642709166080,,,0.008301,",nc,",,nc,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73681171,nc73681171,",nc73681171,",73681171,0.02,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73681171&format=geojson,,0.58,1642709263290,69,md,",nearby-cities,origin,phase-data,",14.0,5,,"6km WNW of The Geysers, CA",automatic,0
