,felt,mag_type,net,alert,tz,sources,nst,status,types,tipe,tsunami,detail,time,code,sig,gap,dmin,mag,place,url,rms,cdi,ids,id,updated,mmi
0,,md,nc,,,",nc,",12.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678956&format=geojson,1642291084070,73678956,3,97,0.01424,0.46,"2km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678956,0.02,,",nc73678956,",nc73678956,1642291180682,
1,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gcbp&format=geojson,1642291052968,7000gcbp,432,69,16.069,5.3,South Sandwich Islands region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gcbp,0.81,,",us7000gcbp,",us7000gcbp,1642292193040,
2,,md,hv,,,",hv,",40.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875602&format=geojson,1642290773000,72875602,44,81,,1.70000005,"2 km S of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875602,0.100000001,,",hv72875602,",hv72875602,1642290961540,
3,2.0,ml,ak,,,",ak,",,automatic,",dyfi,origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p6z40v&format=geojson,1642289822048,022p6z40v,97,,,2.5,"6 km SSW of Big Lake, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p6z40v,0.87,2,",ak022p6z40v,",ak022p6z40v,1642310163351,
4,,ml,ci,,,",ci,",20.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913663&format=geojson,1642288874530,39913663,5,78,0.1144,0.56,"24km SSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913663,0.16,,",ci39913663,",ci39913663,1642289094396,
5,0.0,ml,ci,,,",ci,",18.0,automatic,",dyfi,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913655&format=geojson,1642288524770,39913655,19,90,0.03614,1.1,"22km WNW of Searles Valley, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913655,0.18,1,",ci39913655,",ci39913655,1642291799206,
6,1.0,ml,hv,,,",hv,us,",49.0,automatic,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72875527&format=geojson,1642287601560,72875527,123,144,,2.82,"1 km SE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72875527,0.109999999,2,",hv72875527,us7000gcbc,",hv72875527,1642311660589,
7,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p6g45w&format=geojson,1642286919888,022p6g45w,26,,,1.3,"4 km NNW of Ninilchik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p6g45w,0.26,,",ak022p6g45w,",ak022p6g45w,1642287078024,
8,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p6d9xu&format=geojson,1642286114465,022p6d9xu,68,,,2.1,"44 km SSW of Tatitlek, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p6d9xu,0.76,,",ak022p6d9xu,",ak022p6d9xu,1642286917609,
9,2.0,md,nc,,,",nc,",29.0,automatic,",dyfi,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678951&format=geojson,1642285465940,73678951,63,54,0.01862,2.01,"8km ESE of Fremont, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678951,0.1,2.2,",nc73678951,",nc73678951,1642325929374,
10,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p69glx&format=geojson,1642285055592,022p69glx,81,,,2.3,"10 km SSE of Chenega, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p69glx,0.63,,",ak022p69glx,",ak022p69glx,1642285274297,
11,,ml,ci,,,",ci,",10.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913639&format=geojson,1642284881030,39913639,13,168,0.06438,0.92,"13km ESE of Ridgecrest, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913639,0.23,,",ci39913639,",ci39913639,1642285094289,
12,,ml,nn,,,",nn,",9.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831769&format=geojson,1642284051229,00831769,26,290.85,0.158,1.3,"16 km NW of Indian Springs, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831769,0.1734,,",nn00831769,",nn00831769,1642284234487,
13,,md,nc,,,",nc,",17.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678946&format=geojson,1642283809880,73678946,14,57,0.01156,0.97,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678946,0.02,,",nc73678946,",nc73678946,1642283907001,
14,,md,nc,,,",nc,",14.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678941&format=geojson,1642282888910,73678941,11,56,0.01146,0.85,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678941,0.02,,",nc73678941,",nc73678941,1642282986756,
